datetime,code,open,close,high,low,vol,amount,p_change
2013-01-04,000300,2551.81,2524.41,2558.53,2498.89,979881.0,95579242496.0,0.06
2013-01-07,000300,2518.05,2535.99,2545.97,2511.6,751679.0,73167511552.0,0.46
2013-01-08,000300,2534.65,2525.33,2540.51,2502.49,718371.0,76498059264.0,-0.42
2013-01-09,000300,2518.1,2526.13,2534.24,2504.3,702311.0,74233593856.0,0.03
2013-01-10,000300,2525.59,2530.57,2553.35,2513.73,710858.0,71159046144.0,0.18
2013-01-11,000300,2533.5,2483.23,2539.79,2473.7,742391.0,72775925760.0,-1.87
2013-01-14,000300,2474.18,2577.73,2583.63,2474.0,935540.0,96853475328.0,3.81
2013-01-15,000300,2579.13,2595.86,2605.41,2576.92,986208.0,101356961792.0,0.7
2013-01-16,000300,2591.37,2577.09,2600.09,2540.52,935360.0,95564996608.0,-0.72
2013-01-17,000300,2570.71,2552.76,2575.06,2539.67,699152.0,71716118528.0,-0.94
2013-01-18,000300,2568.69,2595.44,2607.45,2553.45,779403.0,77435166720.0,1.67
2013-01-21,000300,2605.65,2610.9,2611.2,2582.65,841337.0,85357445120.0,0.6
2013-01-22,000300,2610.39,2596.9,2620.02,2578.18,1057662.0,102261161984.0,-0.54
2013-01-23,000300,2588.2,2607.46,2611.41,2576.36,757394.0,72758927360.0,0.41
2013-01-24,000300,2606.43,2582.75,2663.4,2564.21,1112771.0,109537681408.0,-0.95
2013-01-25,000300,2580.88,2571.67,2591.51,2567.11,584873.0,60689375232.0,-0.43
2013-01-28,000300,2577.27,2651.86,2651.97,2577.27,912747.0,98173272064.0,3.12
2013-01-29,000300,2655.38,2675.87,2685.53,2646.15,1010402.0,108827009024.0,0.91
2013-01-30,000300,2678.43,2688.71,2689.68,2662.06,998749.0,100856651776.0,0.48
2013-01-31,000300,2690.95,2686.88,2696.88,2671.33,967401.0,94476820480.0,-0.07
2013-02-01,000300,2677.19,2743.32,2744.32,2671.27,1038795.0,110560935936.0,2.1
2013-02-04,000300,2753.69,2748.03,2768.5,2731.08,1279391.0,136119590912.0,0.17
2013-02-05,000300,2727.93,2771.68,2779.95,2725.36,1161308.0,112701169664.0,0.86
2013-02-06,000300,2771.91,2775.84,2787.46,2765.74,827792.0,88989581312.0,0.15
2013-02-07,000300,2771.53,2759.87,2775.97,2722.87,899781.0,95978594304.0,-0.58
2013-02-08,000300,2755.65,2771.73,2791.3,2747.95,774296.0,82903629824.0,0.43
2013-02-18,000300,2784.06,2737.47,2787.74,2731.51,764382.0,81001365504.0,-1.24
2013-02-19,000300,2735.04,2685.61,2740.74,2674.34,806264.0,82460811264.0,-1.89
2013-02-20,000300,2686.09,2702.64,2703.1,2665.23,700193.0,73636364288.0,0.63
2013-02-21,000300,2675.74,2610.55,2675.74,2584.76,1006579.0,103619502080.0,-3.41
2013-02-22,000300,2607.65,2596.6,2618.48,2591.15,602048.0,65899102208.0,-0.53
2013-02-25,000300,2607.15,2604.96,2628.7,2590.79,531619.0,55614492672.0,0.32
2013-02-26,000300,2587.38,2567.6,2631.09,2564.67,800030.0,83373957120.0,-1.43
2013-02-27,000300,2576.05,2594.68,2615.25,2569.38,632267.0,64612274176.0,1.05
2013-02-28,000300,2611.94,2673.33,2673.71,2594.0,869225.0,92235374592.0,3.03
2013-03-01,000300,2671.84,2668.84,2680.85,2627.0,733437.0,80342745088.0,-0.17
2013-03-04,000300,2619.42,2545.72,2619.57,2528.69,1106191.0,112585039872.0,-4.61
2013-03-05,000300,2547.89,2622.81,2623.17,2541.77,896611.0,92357132288.0,3.03
2013-03-06,000300,2634.87,2650.2,2658.14,2620.43,958296.0,95048892416.0,1.04
2013-03-07,000300,2639.78,2619.48,2658.97,2592.87,940826.0,96498098176.0,-1.16
2013-03-08,000300,2622.68,2606.93,2632.62,2601.96,594295.0,63054594048.0,-0.48
2013-03-11,000300,2600.28,2592.37,2611.65,2574.17,509464.0,52460900352.0,-0.56
2013-03-12,000300,2590.39,2555.62,2619.51,2530.25,719351.0,71675125760.0,-1.42
2013-03-13,000300,2551.73,2527.49,2556.77,2515.06,564304.0,56003723264.0,-1.1
2013-03-14,000300,2517.75,2534.27,2546.7,2514.46,476057.0,49929777152.0,0.27
2013-03-15,000300,2533.72,2539.87,2600.09,2504.46,813721.0,82749874176.0,0.22
2013-03-18,000300,2526.08,2502.49,2544.62,2499.83,598127.0,63093555200.0,-1.47
2013-03-19,000300,2507.4,2525.1,2532.07,2491.85,545364.0,55601012736.0,0.9
2013-03-20,000300,2526.97,2610.17,2610.17,2526.83,907006.0,91271020544.0,3.37
2013-03-21,000300,2611.58,2614.99,2626.54,2598.51,695527.0,71642669056.0,0.18
2013-03-22,000300,2612.26,2618.31,2625.53,2603.34,556471.0,55882141696.0,0.13
2013-03-25,000300,2628.41,2613.1,2641.61,2607.61,562614.0,58004930560.0,-0.2
2013-03-26,000300,2601.96,2575.05,2607.36,2554.97,639629.0,65306570752.0,-1.46
2013-03-27,000300,2575.73,2583.53,2611.94,2566.35,569065.0,58652246016.0,0.33
2013-03-28,000300,2535.99,2499.3,2535.99,2495.08,875784.0,84725899264.0,-3.26
